ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,8,-3,2,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,38,-3,2,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,39,-3,2,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,12,-3,2,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,3,-2,3,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,14,-2,3,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,20,-2,3,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,13,-2,3,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,34,-2,3,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,4,-1,4,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,10,-1,4,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,2,-1,4,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,25,-1,4,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,7,-1,4,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,36,0,5,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,21,0,5,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,33,0,5,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,40,0,5,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,24,0,5,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,22,1,6,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,29,1,6,Positive
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,23,1,6,Negative
93,26,9,QA3,2,2024-09-30 13:58:06.56444614 +0000 UTC,65,16,1,6,Positive
